mu,min,śr,std,max
1,"632741,57","57694734,91","121643975,74","607133810,65"
2,"15891,98","116983,05","92200,70","272359,74"
4,"9082,64","52853,27","39618,66","161954,72"
8,"9081,77","52750,26","45560,78","225876,71"
16,"23890,99","94575,46","41312,19","153400,54"
32,"14580,40","70972,09","30185,09","140292,37"
64,"11663,91","71700,50","38571,94","140090,02"
