mu,min,śr,std,max
1,"137494058,71","291815320069,76","594065135896,08","1838310796839,83"
2,"7011,80","51771,38","41141,95","176724,96"
4,"370,41","5815,30","4841,28","16047,70"
8,"411,56","4153,01","3398,47","13146,20"
16,"461,52","8360,31","6825,70","21577,78"
32,"456,89","4373,86","4737,45","15333,33"
64,"385,22","4348,50","5955,37","15587,35"
