mu,min,śr,std,max
1,"107357,82","99829363,21","324868220,80","1201454989,75"
2,"4939,61","17978,46","7272,04","39204,83"
4,"2754,90","9984,77","6403,19","24851,74"
8,"3202,85","16434,84","8428,78","32027,31"
16,"2084,19","16921,73","11134,89","39103,92"
32,"2657,70","5847,24","3258,94","15373,44"
64,"5765,11","15227,40","4393,06","21723,88"
