mu,min,śr,std,max
1,"15711135031901560,00","20324209994740293632,00","29232198261226700800,00","107463689737382477824,00"
2,"9304,53","26791,18","38834,11","214207,40"
4,"214,21","916,46","1501,60","4976,09"
8,"332,40","3464,70","2959,15","9059,47"
16,"28318,22","227937,91","157201,28","570854,21"
32,"267036,19","9233336,88","36175147,72","186162841,72"
64,"24784838,26","1316998508,40","1933210983,33","5920713263,58"
