mu,min,śr,std,max
1,"58219654479,17","35500606350858,00","111648663447478,66","413761643688240,12"
2,"83142,73","10840594,23","14379966,47","53151900,39"
4,"24199,30","871775,61","1333840,39","5225550,06"
8,"37520,03","362874,81","628932,91","2452914,02"
16,"22020,07","340550,44","363263,19","1563296,11"
32,"74756,74","813144,33","425324,54","1456664,09"
64,"14215,50","688595,15","535750,50","1558308,25"
