mu,min,śr,std,max
1,"6691334,54","10547780880,95","12205224946,76","39788654727,47"
2,"17276,53","39991,27","21863,04","102507,57"
4,"4921,89","17679,53","13174,35","40785,04"
8,"9356,34","35202,10","16515,63","71489,43"
16,"17134,20","37864,02","10649,00","56051,22"
32,"2159,71","13727,36","11675,55","48900,04"
64,"4968,50","24391,06","11678,41","57283,70"
