sigma,min,śr,std,max
"0,5","200,03","200,43","1,22","207,56"
"1,0","201,41","223,10","23,44","290,01"
"1,5","208,71","1384,93","1611,55","6728,01"
"2,0","269,04","5122,25","5380,17","17957,05"
"2,5","540,87","5402,56","5539,88","24011,79"
"3,0","371,94","11668,72","9934,93","37694,00"
