mu,min,śr,std,max
1,"32495400179,66","387860076393617,56","833278615989488,00","3419773614804998,50"
2,"202,89","1068,00","1928,19","7818,88"
4,"1608,49","31512,18","81487,20","413241,43"
8,"6780,04","11003452,74","76220171,09","544544351,22"
16,"3905,57","8211329,32","23939555,14","124650553,74"
32,"1881870,91","23424622089,76","41223511786,63","144703853201,84"
64,"171213294,34","1374587057804,65","9166065404765,97","65459827103037,99"
