mu,min,śr,std,max
1,"68254652,06","5437847733755,64","27334480767160,42","194870676967515,72"
2,"4914,79","86459,38","63136,55","253988,58"
4,"742,28","16170,23","14390,86","86300,24"
8,"451,94","6706,98","7819,33","38464,66"
16,"443,53","3991,87","5584,49","25035,41"
32,"325,88","1273,38","969,87","7033,47"
64,"358,33","10696,79","9427,98","36637,31"
