sigma,min,śr,std,max
"0,5","1931,58","4341,47","8124,02","45127,16"
"1,0","1650,29","3894,99","4587,01","27493,24"
"1,5","1920,95","5203,09","6187,76","39476,93"
"2,0","2137,98","6571,25","5706,63","34234,38"
"2,5","1772,61","8333,16","6088,45","24929,74"
"3,0","1969,28","11162,97","8748,06","39674,79"
