sigma,min,śr,std,max
"0,5","200,05","246,16","27,27","291,47"
"1,0","218,53","307,95","60,17","496,12"
"1,5","231,76","4442,13","4562,18","17685,64"
"2,0","304,91","7140,14","6538,29","25493,10"
"2,5","582,38","11169,68","10539,42","46181,09"
"3,0","516,21","29626,30","52799,92","249753,22"
