sigma,min,śr,std,max
"0,5","2565,38","8032,38","2996,62","17965,39"
"1,0","2706,98","8859,36","3692,51","22110,04"
"1,5","2829,28","8499,49","4663,41","25955,25"
"2,0","3350,14","10556,18","5926,16","27187,07"
"2,5","3005,98","11818,34","7619,46","34987,59"
"3,0","1969,99","15096,48","8507,17","35399,36"
