mu,min,śr,std,max
1,"162445,68","3697873715,82","7208442362,25","30397605801,72"
2,"3194,74","18602,80","9272,30","36759,17"
4,"2315,76","12147,99","6452,34","26364,92"
8,"2667,48","20525,57","11738,14","47754,24"
16,"5505,24","16611,96","6592,59","33678,43"
32,"3881,61","23944,64","7696,51","32350,80"
64,"10538,47","26595,67","8679,94","37015,02"
