sigma,min,śr,std,max
"0,5","2197,33","3768,14","5246,77","43662,12"
"1,0","2081,43","5034,29","6679,46","50711,46"
"1,5","2222,54","6751,05","4416,71","22464,82"
"2,0","2592,60","9241,46","5874,32","22371,23"
"2,5","2259,01","14756,13","13050,07","79303,11"
"3,0","2483,41","19142,31","13745,67","57399,98"
