mu,min,śr,std,max
1,"1156060,02","24638491853,99","24366979516,15","84230664118,48"
2,"13304,18","43357,27","12617,17","79042,45"
4,"5584,48","21565,24","7791,22","51922,94"
8,"3622,86","27613,65","11792,88","50648,51"
16,"7676,93","22143,81","7165,18","37312,97"
32,"6875,35","31580,14","12220,09","62065,67"
64,"11974,74","33798,58","10266,05","51772,81"
