sigma,min,śr,std,max
"0,5","200,30","217,29","18,04","257,62"
"1,0","225,33","796,98","854,76","3896,14"
"1,5","329,90","3198,44","3095,90","8585,05"
"2,0","792,69","7763,28","8688,96","26722,83"
"2,5","3074,15","22362,39","27243,50","129061,58"
"3,0","2421,33","40879,63","45231,80","157224,60"
