sigma,min,śr,std,max
"0,5","7478,67","19752,67","6518,99","27818,32"
"1,0","4695,86","15003,64","8119,52","30415,07"
"1,5","4972,38","15151,60","6623,22","30186,16"
"2,0","4791,46","20556,28","9475,47","37684,67"
"2,5","3819,22","20048,60","10898,97","48211,34"
"3,0","7534,38","24602,11","9137,13","41494,86"
