sigma,min,śr,std,max
"0,5","14860,24","26301,56","8177,85","56140,12"
"1,0","13427,98","31418,37","10297,83","54780,67"
"1,5","16187,69","44020,95","19151,90","81871,55"
"2,0","10271,61","43579,06","21937,77","95208,29"
"2,5","15150,04","47631,29","32001,48","131845,74"
"3,0","7706,44","70483,51","32069,97","122927,01"
