mu,min,śr,std,max
1,"3963426,39","12930880035,97","12213106084,55","41769029363,49"
2,"2578,38","16482,81","10902,04","34324,73"
4,"2016,41","6747,85","2611,24","11704,04"
8,"2838,23","5127,92","2051,24","9824,12"
16,"2230,55","3603,52","1222,63","7033,66"
32,"2518,14","9888,80","13636,79","40086,58"
64,"29770,99","44596,55","6902,46","54349,20"
