mu,min,śr,std,max
1,"46895,54","3187161,57","3796612,97","15152246,30"
2,"10929,01","35513,35","23877,40","92049,58"
4,"2744,27","21453,46","14797,12","59926,15"
8,"2931,82","20124,09","13744,83","61172,95"
16,"6523,23","29574,24","18586,44","74131,53"
32,"2917,06","24930,51","12272,27","48593,75"
64,"4747,63","27439,19","19066,17","75756,94"
