mu,min,śr,std,max
1,"472147278,00","14880505723,23","19675488826,53","66735332543,09"
2,"89734,29","789834,02","627552,17","2318496,07"
4,"3848,46","110746,56","102991,17","431053,08"
8,"4815,02","38298,29","27502,98","123728,57"
16,"860,62","41481,13","63923,45","309272,67"
32,"4871,09","83079,25","83527,81","306039,36"
64,"1049,77","52310,84","52785,72","179489,88"
