mu,min,śr,std,max
1,"1590865297,12","3170126719379,14","6167134093003,79","18884701850859,57"
2,"15540,55","1990219,66","3548848,78","13233839,95"
4,"606,63","49974,65","68837,55","272284,73"
8,"2802,68","114073,55","172681,70","556348,78"
16,"605,83","19655,94","37753,74","171814,13"
32,"422,33","115911,54","138714,63","458139,17"
64,"5018356,33","109707023,85","176029323,25","682973626,23"
