l. rzędów,min,śr,std,max
50,"55,00%","92,35%","8,05%","100,00%"
100,"85,00%","96,70%","3,43%","100,00%"
200,"91,25%","97,72%","1,94%","100,00%"
300,"95,83%","98,43%","1,25%","100,00%"
