parametry,min,śr,std,max
"μ=16 σ=0,2","11937496,46","238022341,16","608879548,14","2177275053,54"
"μ=16 σ=0,3","1249182,87","24573286,91","66035482,17","223805114,95"
"μ=16 σ=0,4","372953,82","8550678,32","21886661,09","79869538,59"
"μ=16 σ=0,5","77484,36","2454437,08","6484040,79","23890243,82"
"μ=16 σ=0,6","13824,43","296802,14","820272,14","3478854,02"
"μ=16 σ=0,7","4883,61","27243,65","47373,29","181210,85"
"μ=16 σ=0,8","2502,59","13188,14","22757,55","97069,31"
"μ=16 σ=0,9","880,37","6288,22","8880,92","44131,17"
"μ=16 σ=1,0","1293,36","3778,86","1794,44","8081,08"
"μ=16 σ=1,1","559,82","3564,55","1689,18","6691,07"
"μ=16 σ=1,2","297,16","4483,83","2937,12","11593,98"
"μ=16 σ=1,3","309,06","3965,52","1615,54","6366,04"
"μ=16 σ=1,4","1168,85","4168,62","1898,97","7520,93"
"μ=16 σ=1,5","2351,70","6116,32","2806,88","11124,31"
"μ=16 σ=1,6","377,06","5038,98","2803,26","9578,72"
"μ=16 σ=1,7","1324,98","6594,22","3268,99","12236,61"
"μ=16 σ=1,8","1395,26","6132,99","3677,91","17374,79"
"μ=16 σ=1,9","1027,39","7683,48","5473,45","20345,80"
"μ=16 σ=2,0","1545,78","11980,49","13001,79","48439,23"
"μ=16 σ=2,1","2971,14","20266,16","22627,51","101324,72"
"μ=16 σ=2,2","1937,19","39723,24","74892,10","261131,34"
"μ=16 σ=2,3","2827,01","49272,69","46206,79","157305,60"
"μ=16 σ=2,4","11185,12","54246,06","33085,40","126141,50"
"μ=16 σ=2,5","2898,49","62035,35","60772,57","261650,85"
"μ=16 σ=2,6","11960,77","107420,59","182841,20","639770,14"
"μ=16 σ=2,7","4232,36","52842,43","53380,22","180616,14"
"μ=16 σ=2,8","10860,54","94115,36","108246,43","356001,74"
"μ=16 σ=2,9","2502,73","92946,41","90094,77","364284,61"
"μ=16 σ=3,0","9639,44","238708,22","266699,11","803202,38"
"μ=32 σ=0,1","4363876645634,76","8030405408678,62","1437427426525,21","9599405058708,98"
"μ=32 σ=0,2","288127028695,44","1212922097267,49","382088005739,43","1683093808973,86"
"μ=32 σ=0,3","11567621156,86","124818292891,88","57488340375,81","224273413202,56"
"μ=32 σ=0,4","422196498,14","13946387556,77","6337030328,80","25010181720,74"
"μ=32 σ=0,5","154477891,41","3815812744,82","1421723808,27","5371197515,61"
"μ=32 σ=0,6","72498651,31","1756143441,87","635464591,43","2404043979,42"
"μ=32 σ=0,7","35714157,67","966072762,65","354802619,90","1288789106,39"
"μ=32 σ=0,8","15465192,25","607913556,80","228072492,36","817991696,46"
"μ=32 σ=0,9","3171297,03","418765163,00","188344921,84","687162190,56"
"μ=32 σ=1,0","1196412,50","269861925,94","129490474,63","519640339,61"
"μ=32 σ=1,1","272851,98","168413732,94","80197380,85","296057310,61"
"μ=32 σ=1,2","40539,23","98757383,72","67958037,84","236617177,68"
"μ=32 σ=1,3","13570,93","53580077,80","39372376,06","152164403,56"
"μ=32 σ=1,4","18329,28","31240851,80","24234434,63","77206219,89"
"μ=32 σ=1,5","25342,67","15541698,57","12363156,31","46298778,48"
"μ=32 σ=1,6","6986,68","7322870,67","6524204,33","24736051,97"
"μ=32 σ=1,7","4423,74","1985505,82","2625602,99","10201594,93"
"μ=32 σ=1,8","1379,81","1229503,84","1917741,54","9049945,06"
"μ=32 σ=1,9","3193,62","487247,12","757480,51","3297854,69"
"μ=32 σ=2,0","1253,18","282128,55","506949,68","2070479,85"
"μ=32 σ=2,1","2808,80","127021,67","365897,76","1705451,70"
"μ=32 σ=2,2","4325,74","105681,84","120535,76","352114,37"
"μ=32 σ=2,3","13766,57","45511,67","25020,90","105518,36"
"μ=32 σ=2,4","969,51","34217,37","81024,10","351334,01"
"μ=32 σ=2,5","1182,56","19855,35","31162,89","92020,99"
"μ=32 σ=2,6","4837,83","37673,57","42422,26","156714,46"
"μ=32 σ=2,7","1106,75","41420,09","53579,11","171325,30"
"μ=32 σ=2,8","738,38","33611,07","31520,86","108823,50"
"μ=32 σ=2,9","4115,83","66439,36","71085,86","226281,04"
"μ=32 σ=3,0","1318,36","57665,76","77554,93","230709,65"
"μ=64 σ=0,1","84434616525007,05","141877267968041,41","95683425099226,38","332598139603835,00"
"μ=64 σ=0,2","17013775295883,12","34058683265922,48","30069875961578,57","118710373763358,27"
"μ=64 σ=0,3","3105336179483,86","9245109034940,29","10755671346750,73","38960282975731,77"
"μ=64 σ=0,4","565484393795,66","1216811342098,41","1284400423549,76","13593603104338,47"
"μ=64 σ=0,5","53130337257,55","220895126488,82","121698078316,33","534998319598,64"
"μ=64 σ=0,6","934755398,87","48645307877,34","35547741657,68","113003945775,46"
"μ=64 σ=0,7","13482576,30","11473022670,08","12522012063,38","48060312630,05"
"μ=64 σ=0,8","1725238,36","4111523486,36","7859541303,88","30941535912,47"
