parametry,min,śr,std,max
"μ=8 σ=2,5","3691,81","22150,33","12510,20","52733,04"
"μ=8 σ=2,6","2576,37","23034,08","17803,98","65134,39"
"μ=8 σ=2,7","3407,52","28327,76","21843,96","91209,72"
"μ=8 σ=2,8","5886,20","24738,90","16389,69","52839,30"
"μ=8 σ=2,9","3768,33","25053,81","14482,85","71796,20"
"μ=8 σ=3,0","5899,62","24409,49","11896,55","50029,78"
"μ=16 σ=0,1","4021,41","26178,67","6491,21","28668,44"
"μ=16 σ=0,2","3422,22","26243,03","6747,18","29471,23"
"μ=16 σ=0,3","3182,17","26109,84","6239,96","29122,93"
"μ=16 σ=0,4","3765,52","25860,14","6259,08","30438,21"
"μ=16 σ=0,5","3366,02","26084,84","6570,39","31052,69"
"μ=16 σ=0,6","5195,15","25823,34","6832,08","34622,09"
"μ=16 σ=0,7","5120,00","27205,84","6610,33","34588,47"
"μ=16 σ=0,8","4555,04","26240,62","6484,69","32402,98"
"μ=16 σ=0,9","4246,09","27032,06","7259,25","34702,92"
"μ=16 σ=1,0","5676,79","26061,43","6699,83","33187,99"
"μ=16 σ=1,1","3219,13","28357,21","8328,50","42565,31"
"μ=16 σ=1,2","4866,25","27010,88","7470,22","39100,97"
"μ=16 σ=1,3","4525,98","28017,16","6960,52","37087,93"
"μ=16 σ=1,4","4598,50","26542,57","6402,40","31523,54"
"μ=16 σ=1,5","3578,59","27550,37","9062,91","42608,76"
"μ=16 σ=1,6","4376,71","26469,63","8033,05","36584,82"
"μ=16 σ=1,7","4583,74","28722,68","9414,93","37091,15"
"μ=16 σ=1,8","5934,41","28368,42","9852,26","48046,30"
"μ=16 σ=1,9","6836,02","30516,43","8629,65","39218,67"
"μ=16 σ=2,0","9991,65","29473,48","7308,99","38698,71"
"μ=16 σ=2,1","12038,08","28449,81","8007,89","39077,93"
"μ=16 σ=2,2","6786,13","27216,81","8543,69","37803,94"
"μ=16 σ=2,3","11287,52","34131,61","12711,78","57210,91"
"μ=16 σ=2,4","5963,27","34581,48","11831,30","48866,37"
"μ=16 σ=2,5","6088,08","33156,63","13821,06","63589,97"
"μ=16 σ=2,6","18144,38","33461,95","9500,72","54388,00"
"μ=16 σ=2,7","8924,42","37462,66","11083,35","57555,70"
"μ=16 σ=2,8","5828,61","33036,03","10857,90","48663,69"
"μ=16 σ=2,9","15900,24","39385,35","13801,46","63109,41"
"μ=16 σ=3,0","10314,63","36287,35","13339,18","72702,57"
"μ=32 σ=0,1","1260306550,76","3661734104,25","3127941735,92","8016971908,95"
"μ=32 σ=0,2","24631,03","673378967,23","900965445,24","2004992673,07"
"μ=32 σ=0,3","3395,24","20996,90","7880,91","26848,40"
"μ=32 σ=0,4","2616,94","18146,65","10764,38","26739,79"
"μ=32 σ=0,5","2469,97","18485,22","10965,20","28112,83"
"μ=32 σ=0,6","2660,11","18574,64","10590,72","28151,43"
"μ=32 σ=0,7","2401,21","18302,42","10723,98","27661,82"
"μ=32 σ=0,8","2685,35","19149,24","12187,69","30945,95"
"μ=32 σ=0,9","2726,02","18491,20","11069,06","29585,57"
"μ=32 σ=1,0","2564,54","19549,76","11965,78","30864,57"
"μ=32 σ=1,1","2986,56","19788,80","9478,04","30270,71"
"μ=32 σ=1,2","5065,51","21507,35","10456,06","33409,34"
"μ=32 σ=1,3","3166,34","21280,60","12547,72","35575,33"
"μ=32 σ=1,4","3561,11","21552,61","12553,97","37908,97"
"μ=32 σ=1,5","3037,71","23652,62","14963,28","50156,85"
"μ=32 σ=1,6","3042,78","22691,67","12377,58","43094,37"
"μ=32 σ=1,7","4152,16","28581,01","16912,46","53256,39"
"μ=32 σ=1,8","3945,43","20339,43","11012,46","38795,68"
"μ=32 σ=1,9","2924,76","24591,26","14743,50","46031,69"
"μ=32 σ=2,0","2753,58","23434,95","12818,38","46044,72"
"μ=32 σ=2,1","10574,98","30998,26","12061,64","50742,05"
"μ=32 σ=2,2","2640,15","27739,94","17684,58","54100,14"
"μ=32 σ=2,3","3683,42","27210,84","14966,31","57109,77"
"μ=32 σ=2,4","2487,27","26881,99","13977,37","47866,85"
"μ=32 σ=2,5","22149,68","34785,45","13843,47","66700,98"
"μ=32 σ=2,6","6385,13","35671,83","16069,43","64699,69"
"μ=32 σ=2,7","5099,32","28204,03","10913,16","49460,38"
"μ=32 σ=2,8","8993,18","39327,64","14199,62","68493,40"
"μ=32 σ=2,9","4685,96","29834,92","17715,17","57236,68"
"μ=32 σ=3,0","12791,13","36124,81","22818,37","82786,08"
"μ=64 σ=0,1","27735623,51","224974704,00","397684668,57","1107601125,56"
"μ=64 σ=0,2","1834,68","15632799,88","38141512,63","140032763,61"
"μ=64 σ=0,3","1848,80","4771,21","7508,87","27250,06"
"μ=64 σ=0,4","1786,28","4947,39","7138,82","26056,93"
"μ=64 σ=0,5","1835,69","4680,83","6873,54","25258,19"
"μ=64 σ=0,6","2101,75","5634,24","7449,45","27846,52"
"μ=64 σ=0,7","1854,39","6210,14","8715,64","27648,33"
"μ=64 σ=0,8","2021,40","7377,66","8815,92","27369,54"
"μ=64 σ=0,9","2081,62","7824,71","9290,36","28921,84"
"μ=64 σ=1,0","2482,99","9393,59","12124,68","39779,26"
"μ=64 σ=1,1","1867,58","8094,77","10663,70","32790,58"
"μ=64 σ=1,2","2044,31","7596,36","8631,05","30026,14"
"μ=64 σ=1,3","2278,55","9824,48","12927,62","48616,82"
"μ=64 σ=1,4","2291,42","10009,20","7828,44","26392,86"
"μ=64 σ=1,5","1928,20","8059,05","9993,86","32381,01"
"μ=64 σ=1,6","2877,61","12164,89","10631,89","31925,69"
"μ=64 σ=1,7","2163,86","9227,47","7666,08","28466,64"
"μ=64 σ=1,8","2447,82","12519,70","10229,60","30909,92"
"μ=64 σ=1,9","2273,85","11887,53","8649,77","31287,23"
"μ=64 σ=2,0","2431,67","11169,00","9304,57","32610,82"
"μ=64 σ=2,1","2083,48","12882,10","8878,70","30429,80"
"μ=64 σ=2,2","3700,26","14154,76","9914,35","39409,65"
"μ=64 σ=2,3","2221,65","19591,78","18321,49","53052,63"
"μ=64 σ=2,4","1737,54","15305,44","12183,00","44927,90"
"μ=64 σ=2,5","2457,26","22396,08","20613,56","61525,94"
"μ=64 σ=2,6","2658,12","17204,03","12764,43","39157,38"
"μ=64 σ=2,7","2071,94","16190,16","11457,42","42450,51"
"μ=64 σ=2,8","4160,80","15817,96","8015,34","28776,37"
"μ=64 σ=2,9","3360,41","21348,92","10728,55","40858,56"
"μ=64 σ=3,0","4514,00","21004,84","10557,16","35566,43"
