parametry,min,śr,std,max
"μ=2 σ=0,1","1785,21","2166866243,34","3526513328,31","9774305578,12"
"μ=2 σ=0,2","1805,44","13711,00","18368,38","46493,55"
"μ=2 σ=0,3","1989,65","13203,30","16949,07","41420,15"
"μ=2 σ=0,4","1858,05","13727,93","17831,13","44914,74"
"μ=2 σ=0,5","1846,67","15068,82","17332,81","43588,54"
"μ=2 σ=0,6","1993,10","14080,79","16899,94","44281,22"
"μ=2 σ=0,7","1990,02","14668,96","17019,90","45221,60"
"μ=2 σ=0,8","2284,75","14818,86","16986,49","51949,29"
"μ=2 σ=0,9","2268,87","12090,70","12944,70","35480,36"
"μ=2 σ=1,0","2691,86","15548,41","16128,34","44444,02"
"μ=2 σ=1,1","2093,94","15633,22","16651,58","48014,29"
"μ=2 σ=1,2","3031,70","14798,79","14262,47","47074,70"
"μ=2 σ=1,3","2663,52","14734,00","15220,83","51656,15"
"μ=2 σ=1,4","2883,50","16183,46","11353,13","39510,12"
"μ=2 σ=1,5","3076,68","17812,94","10501,01","40863,46"
"μ=2 σ=1,6","3515,90","18651,71","14800,65","56276,57"
"μ=2 σ=1,7","3668,63","30038,03","22037,56","99255,80"
"μ=2 σ=1,8","6156,24","31231,83","23756,94","85949,01"
"μ=2 σ=1,9","6325,50","20208,41","13861,51","50514,29"
"μ=2 σ=2,0","4930,98","22643,60","15186,86","60600,81"
"μ=2 σ=2,1","2142,81","30974,23","21794,38","82116,58"
"μ=2 σ=2,2","2571,46","32841,89","19469,70","66081,60"
"μ=2 σ=2,3","3338,07","35091,64","34432,18","155803,34"
"μ=2 σ=2,4","3268,68","25894,67","18998,33","61294,07"
"μ=2 σ=2,5","7943,93","36223,11","19221,12","72518,45"
"μ=2 σ=2,6","18213,36","34494,41","14288,43","65770,44"
"μ=2 σ=2,7","9316,34","30548,15","19206,58","67285,04"
"μ=2 σ=2,8","10393,39","35319,14","19160,17","70353,88"
"μ=2 σ=2,9","7701,23","38702,06","23616,10","97475,72"
"μ=2 σ=3,0","8205,28","58004,86","39456,67","142111,88"
"μ=4 σ=0,1","7404,70","24250,81","8223,64","29020,75"
"μ=4 σ=0,2","7923,83","24601,16","8310,94","30000,27"
"μ=4 σ=0,3","6904,70","23889,21","8589,39","30822,69"
"μ=4 σ=0,4","5137,32","23923,84","8683,88","30894,72"
"μ=4 σ=0,5","5445,81","23209,72","8508,50","32173,48"
"μ=4 σ=0,6","6079,94","25204,87","8679,97","33303,51"
"μ=4 σ=0,7","6902,69","24035,52","8520,52","32728,45"
"μ=4 σ=0,8","5080,37","24111,73","9752,22","36614,82"
"μ=4 σ=0,9","7113,13","25221,99","8247,60","33530,30"
"μ=4 σ=1,0","8434,86","25224,78","9399,87","41721,12"
"μ=4 σ=1,1","13452,98","26549,41","7809,57","40927,79"
"μ=4 σ=1,2","7483,41","26061,69","8123,41","38653,49"
"μ=4 σ=1,3","6972,23","25038,90","8532,31","33272,94"
"μ=4 σ=1,4","2853,04","24102,47","10022,64","36970,22"
"μ=4 σ=1,5","5518,17","25962,15","12662,36","48235,21"
"μ=4 σ=1,6","5108,17","23264,17","10197,96","36500,81"
"μ=4 σ=1,7","13609,84","27396,55","9750,29","40804,74"
"μ=4 σ=1,8","4271,03","29136,55","12461,42","46652,03"
"μ=4 σ=1,9","11806,56","22872,54","6143,00","36225,15"
"μ=4 σ=2,0","6807,84","32081,10","15003,05","62516,90"
"μ=4 σ=2,1","1935,92","25960,61","13623,92","48156,12"
"μ=4 σ=2,2","11621,39","31070,44","19652,58","76193,75"
"μ=4 σ=2,3","7002,07","30335,33","12479,27","41935,91"
"μ=4 σ=2,4","12234,26","27174,24","11037,40","48310,61"
"μ=4 σ=2,5","8692,80","34875,25","15292,28","62920,26"
"μ=4 σ=2,6","5916,02","33675,63","16600,31","61864,64"
"μ=4 σ=2,7","8769,69","35936,97","16126,26","62666,91"
"μ=4 σ=2,8","6054,89","29840,69","24564,94","90104,89"
"μ=4 σ=2,9","7578,39","31254,33","16878,51","74305,73"
"μ=4 σ=3,0","4869,86","35976,24","16956,29","62442,45"
"μ=8 σ=0,1","1391136278,69","2266191971,15","794504749,35","5238642383,87"
"μ=8 σ=0,2","2835,64","12395,50","14645,90","49866,85"
"μ=8 σ=0,3","2706,37","11030,17","12766,03","48324,28"
"μ=8 σ=0,4","2654,35","10986,05","12419,83","47026,87"
"μ=8 σ=0,5","2812,11","10523,79","10613,13","40737,08"
"μ=8 σ=0,6","2670,70","10349,29","10192,99","36295,14"
"μ=8 σ=0,7","2277,18","11273,79","12787,45","49017,71"
"μ=8 σ=0,8","2431,77","10787,52","11408,82","43643,98"
"μ=8 σ=0,9","2899,98","12156,96","12026,91","45454,83"
"μ=8 σ=1,0","2612,98","12662,15","12732,89","45546,84"
"μ=8 σ=1,1","3132,69","14369,43","14107,20","52568,06"
"μ=8 σ=1,2","3035,21","13039,86","12139,80","47750,02"
"μ=8 σ=1,3","3563,56","12912,12","10902,14","38406,92"
"μ=8 σ=1,4","3110,46","14415,38","11508,79","38914,64"
"μ=8 σ=1,5","2651,25","14308,57","11051,48","43817,48"
"μ=8 σ=1,6","2617,35","14700,56","12463,56","48478,87"
"μ=8 σ=1,7","3588,87","17163,72","13721,19","42577,54"
"μ=8 σ=1,8","2359,92","16828,17","12968,77","44904,68"
"μ=8 σ=1,9","2964,10","18292,49","12835,98","44025,69"
"μ=8 σ=2,0","2763,66","18935,66","11717,17","48270,13"
"μ=8 σ=2,1","6424,23","22139,39","11454,84","48941,85"
"μ=8 σ=2,2","4103,37","18766,90","12616,90","52043,44"
"μ=8 σ=2,3","3100,88","19530,53","14714,10","50974,05"
"μ=8 σ=2,4","3330,09","22019,92","14085,71","56187,15"
