parametry,min,śr,std,max
"μ=2 σ=0,1","1728,46","5454,42","10824,00","37924,79"
"μ=2 σ=0,2","1746,92","5669,22","11258,44","39443,13"
"μ=2 σ=0,3","1740,55","4693,30","8005,41","28699,32"
"μ=2 σ=0,4","1853,52","5208,88","9189,35","32769,02"
"μ=2 σ=0,5","1751,11","4724,37","7800,91","28116,66"
"μ=2 σ=0,6","1979,69","4867,56","7205,42","26446,33"
"μ=2 σ=0,7","1599,95","5020,19","7013,39","25961,53"
"μ=2 σ=0,8","2366,75","4844,28","5637,54","21684,04"
"μ=2 σ=0,9","2036,73","5074,00","5489,92","21339,29"
"μ=2 σ=1,0","2156,33","6150,63","5796,47","22595,80"
"μ=2 σ=1,1","2061,02","5752,83","4409,39","17032,59"
"μ=2 σ=1,2","2401,57","5942,10","3247,96","13447,16"
"μ=2 σ=1,3","2331,31","7084,68","4987,40","19077,70"
"μ=2 σ=1,4","1551,74","6498,49","5242,53","19918,11"
"μ=2 σ=1,5","2312,89","6397,90","3983,97","19650,78"
"μ=2 σ=1,6","1740,87","8169,24","5126,90","24554,33"
"μ=2 σ=1,7","1912,30","7344,72","4378,74","23217,29"
"μ=2 σ=1,8","2186,87","9538,80","6287,97","26233,73"
"μ=2 σ=1,9","2311,09","6675,44","2896,20","11542,54"
"μ=2 σ=2,0","3960,05","10411,80","7641,77","29989,90"
"μ=2 σ=2,1","2474,98","11107,44","4190,67","18557,22"
"μ=2 σ=2,2","4958,00","16395,64","12768,49","51369,90"
"μ=2 σ=2,3","3104,56","18254,85","13041,05","42220,82"
"μ=2 σ=2,4","2370,26","11567,14","6297,78","29523,46"
"μ=2 σ=2,5","2733,88","15584,99","9469,36","38458,44"
"μ=2 σ=2,6","6433,31","11913,70","5590,85","28709,30"
"μ=2 σ=2,7","3205,97","14305,51","9140,51","29284,29"
"μ=2 σ=2,8","4048,86","10222,89","9223,77","44756,44"
"μ=2 σ=2,9","6232,68","14396,16","5427,49","23767,34"
"μ=2 σ=3,0","4494,34","16817,52","8524,47","34741,54"
"μ=4 σ=0,1","7604,21","22613,10","8759,63","29660,03"
"μ=4 σ=0,2","7240,54","21285,52","8604,07","29600,69"
"μ=4 σ=0,3","5800,69","21072,48","8791,40","29360,04"
"μ=4 σ=0,4","7260,73","20064,33","7575,48","28661,45"
"μ=4 σ=0,5","5875,58","17712,68","8009,85","29178,70"
"μ=4 σ=0,6","5508,62","17912,55","7838,96","28328,65"
"μ=4 σ=0,7","6208,72","17254,04","7396,14","27374,29"
"μ=4 σ=0,8","5461,39","16749,03","7425,88","27343,30"
"μ=4 σ=0,9","4580,19","15002,87","6595,50","26971,18"
"μ=4 σ=1,0","3329,22","14838,58","7263,83","30928,94"
"μ=4 σ=1,1","3826,99","14321,08","6251,34","25589,11"
"μ=4 σ=1,2","5252,97","16185,06","7083,90","29232,62"
"μ=4 σ=1,3","4212,02","14183,63","7586,82","27557,45"
