parametry,min,śr,std,max
"μ=4 σ=1,4","2691,83","12596,95","8988,18","39732,15"
"μ=4 σ=1,5","4386,16","14026,09","7114,90","27819,32"
"μ=4 σ=1,6","4291,30","12687,57","5859,00","24574,48"
"μ=4 σ=1,7","3680,87","14960,83","8312,53","30445,80"
"μ=4 σ=1,8","7730,27","15825,62","6608,11","29484,45"
"μ=4 σ=1,9","3517,79","12903,35","6780,49","25455,58"
"μ=4 σ=2,0","4011,31","11567,37","6494,29","25278,07"
"μ=4 σ=2,1","5784,77","11956,65","4857,14","23717,70"
"μ=4 σ=2,2","5848,11","14005,86","5950,39","22765,61"
"μ=4 σ=2,3","4453,00","14294,33","9211,93","36917,75"
"μ=4 σ=2,4","5584,18","13286,28","5923,72","26193,62"
"μ=4 σ=2,5","2340,06","17485,98","5880,88","33562,21"
"μ=4 σ=2,6","3721,00","16668,98","8994,26","34886,80"
"μ=4 σ=2,7","4670,97","11170,43","5015,37","19292,41"
"μ=4 σ=2,8","7025,57","18006,63","10077,46","42332,03"
"μ=4 σ=2,9","3291,44","17912,46","9618,02","35763,93"
"μ=4 σ=3,0","5883,77","16025,99","8339,42","31784,96"
"μ=8 σ=0,1","2524,60","8362,84","13595,81","47355,43"
"μ=8 σ=0,2","2312,32","7561,72","11620,49","40680,35"
"μ=8 σ=0,3","2242,43","7077,86","11315,01","40156,65"
"μ=8 σ=0,4","2385,19","7543,42","10135,12","34747,98"
"μ=8 σ=0,5","2324,38","8994,73","10266,12","32781,56"
"μ=8 σ=0,6","2313,19","9922,40","13564,53","46200,05"
"μ=8 σ=0,7","2423,16","9411,15","12163,23","41600,56"
"μ=8 σ=0,8","2212,14","9260,46","9935,69","32106,82"
"μ=8 σ=0,9","2630,94","8891,45","9280,95","31292,93"
"μ=8 σ=1,0","2342,70","8201,20","8375,34","28627,23"
"μ=8 σ=1,1","2231,06","10174,24","10514,36","34663,62"
"μ=8 σ=1,2","2313,75","9217,85","8721,69","27945,11"
"μ=8 σ=1,3","1793,21","8762,26","8635,51","27956,16"
"μ=8 σ=1,4","2339,60","9486,94","8669,16","26677,42"
"μ=8 σ=1,5","2616,70","9081,88","7547,26","23032,49"
"μ=8 σ=1,6","2212,72","11930,20","12086,08","38898,82"
"μ=8 σ=1,7","2535,79","9422,21","8019,88","27668,80"
"μ=8 σ=1,8","2209,77","11028,70","7593,65","27649,16"
"μ=8 σ=1,9","3095,89","12028,98","9423,83","30058,45"
"μ=8 σ=2,0","2684,04","11862,42","12922,84","46838,87"
"μ=8 σ=2,1","1814,76","12036,00","8002,03","25957,23"
"μ=8 σ=2,2","2016,10","10612,37","7791,50","30441,54"
"μ=8 σ=2,3","3148,38","9115,43","4179,13","16668,00"
"μ=8 σ=2,4","3750,92","10285,29","5868,50","23944,93"
"μ=8 σ=2,5","2618,15","9925,14","6225,61","25136,71"
"μ=8 σ=2,6","2601,25","15458,75","11185,80","37889,84"
"μ=8 σ=2,7","2969,73","11554,40","9725,42","41429,06"
"μ=8 σ=2,8","3417,97","13432,37","9317,59","39685,76"
"μ=8 σ=2,9","4818,69","13370,77","7424,25","28425,92"
"μ=8 σ=3,0","4822,56","14810,85","11574,35","45346,77"
"μ=16 σ=0,1","3236,36","22143,87","10295,59","29092,07"
"μ=16 σ=0,2","2905,90","21759,24","9987,31","27650,03"
"μ=16 σ=0,3","3049,93","21980,73","10068,04","29309,27"
"μ=16 σ=0,4","2329,98","21174,65","9958,90","28816,62"
"μ=16 σ=0,5","2370,39","21436,59","10083,24","29721,98"
"μ=16 σ=0,6","2503,46","20100,42","9841,91","29700,24"
"μ=16 σ=0,7","2868,98","21220,06","9975,01","30777,36"
"μ=16 σ=0,8","2597,42","19947,20","9217,88","29428,69"
"μ=16 σ=0,9","3143,93","18911,40","8968,81","28192,21"
"μ=16 σ=1,0","2496,05","18074,82","8827,18","28299,32"
"μ=16 σ=1,1","2540,08","17975,17","9002,59","28143,52"
"μ=16 σ=1,2","2501,41","19713,21","9427,04","29021,15"
"μ=16 σ=1,3","3347,09","20304,19","9211,44","32634,88"
"μ=16 σ=1,4","2891,25","16802,61","8497,09","27315,63"
"μ=16 σ=1,5","2473,44","18149,12","8928,34","30199,84"
"μ=16 σ=1,6","2910,70","17321,55","9284,77","29693,24"
"μ=16 σ=1,7","2875,98","16459,39","9789,28","32005,32"
"μ=16 σ=1,8","2654,29","18047,21","9690,82","29298,16"
"μ=16 σ=1,9","2360,81","16480,96","9055,84","28053,12"
"μ=16 σ=2,0","2715,76","18542,64","8417,92","31128,66"
"μ=16 σ=2,1","2333,05","19193,29","10166,58","31555,53"
"μ=16 σ=2,2","3111,56","16263,37","9193,91","30477,28"
"μ=16 σ=2,3","3904,68","16411,76","7668,42","27299,89"
"μ=16 σ=2,4","4516,12","18498,96","8776,64","31804,06"
"μ=16 σ=2,5","2754,00","18322,54","8567,60","29260,92"
"μ=16 σ=2,6","2852,36","17068,86","8405,36","34947,55"
"μ=16 σ=2,7","4969,80","14689,30","6473,22","28755,13"
"μ=16 σ=2,8","4456,63","16199,00","5864,08","26911,73"
"μ=16 σ=2,9","2469,26","16596,63","10226,75","34624,26"
"μ=16 σ=3,0","5889,32","15174,45","7513,53","34396,86"
"μ=32 σ=0,1","2299,84","23342,31","12090,86","58257,53"
"μ=32 σ=0,2","2275,54","22106,54","10648,26","55947,10"
"μ=32 σ=0,3","2382,34","21706,55","10616,74","53841,54"
"μ=32 σ=0,4","2268,58","22737,62","11917,11","57607,56"
"μ=32 σ=0,5","2338,45","21701,36","11082,90","52900,77"
"μ=32 σ=0,6","2442,66","22905,09","11584,93","57696,29"
"μ=32 σ=0,7","2452,39","20815,15","8899,75","36222,18"
"μ=32 σ=0,8","2219,15","20712,48","10670,09","58340,38"
"μ=32 σ=0,9","2725,97","21328,93","10275,33","48463,26"
"μ=32 σ=1,0","3176,92","23382,08","11995,86","60471,97"
"μ=32 σ=1,1","2610,32","22507,37","11043,16","55815,89"
"μ=32 σ=1,2","2418,35","22566,87","12887,73","60102,65"
"μ=32 σ=1,3","2688,38","21590,72","11290,88","53191,38"
"μ=32 σ=1,4","2515,14","21363,23","11856,31","59617,27"
"μ=32 σ=1,5","3539,83","20420,90","10385,43","49301,17"
"μ=32 σ=1,6","3525,70","22334,56","9312,55","39708,77"
"μ=32 σ=1,7","2958,42","20580,38","11033,99","37413,48"
"μ=32 σ=1,8","2936,24","21686,26","9560,82","32703,54"
"μ=32 σ=1,9","3640,38","18707,54","8790,82","32485,97"
"μ=32 σ=2,0","2901,71","18044,31","9873,72","44424,60"
"μ=32 σ=2,1","3325,78","20519,06","11149,18","39756,59"
"μ=32 σ=2,2","3484,85","23093,14","9579,97","31927,18"
"μ=32 σ=2,3","6428,00","20566,34","9363,12","44605,58"
"μ=32 σ=2,4","6576,73","21559,36","10826,93","42679,69"
"μ=32 σ=2,5","3444,17","20319,97","8914,67","32088,56"
"μ=32 σ=2,6","1978,64","21611,84","12815,77","36499,34"
"μ=32 σ=2,7","3435,54","23310,82","10665,64","54854,87"
"μ=32 σ=2,8","3382,54","19840,67","10717,49","37752,21"
"μ=32 σ=2,9","4388,48","21031,53","11632,71","49679,54"
"μ=32 σ=3,0","5628,15","23449,35","12731,01","42889,52"
"μ=64 σ=0,1","1819,00","2616,52","2572,24","11927,75"
"μ=64 σ=0,2","1809,77","2522,99","2286,06","11489,12"
"μ=64 σ=0,3","1825,71","2483,91","2051,12","10511,96"
"μ=64 σ=0,4","1806,04","2762,97","2752,03","12765,76"
"μ=64 σ=0,5","1843,19","2625,62","2207,73","11305,90"
"μ=64 σ=0,6","1773,20","2835,79","2790,54","12953,31"
"μ=64 σ=0,7","1775,69","2766,66","2122,56","10977,65"
"μ=64 σ=0,8","1903,65","2738,28","2333,41","11731,61"
"μ=64 σ=0,9","1855,88","2770,63","2083,66","10938,31"
"μ=64 σ=1,0","1878,19","2890,34","2274,24","11786,76"
"μ=64 σ=1,1","1809,42","3135,72","2174,52","10730,82"
"μ=64 σ=1,2","1952,62","2822,39","1672,13","9126,84"
"μ=64 σ=1,3","2040,39","3464,00","2427,74","12617,65"
"μ=64 σ=1,4","2002,14","2960,11","523,39","4248,57"
"μ=64 σ=1,5","2113,46","3579,43","1983,25","10226,63"
"μ=64 σ=1,6","2097,88","3278,99","1639,47","9203,36"
"μ=64 σ=1,7","2014,89","4518,21","2581,93","13141,52"
"μ=64 σ=1,8","2349,80","4348,61","1787,92","9583,71"
"μ=64 σ=1,9","2589,51","3849,08","1837,19","10747,97"
"μ=64 σ=2,0","1988,47","4024,17","2813,11","13571,66"
"μ=64 σ=2,1","1806,28","4244,42","2555,87","12272,06"
"μ=64 σ=2,2","2223,95","5393,83","1960,45","9747,57"
"μ=64 σ=2,3","2219,48","5112,99","3487,07","15504,92"
"μ=64 σ=2,4","2282,25","5058,19","2959,08","14524,12"
"μ=64 σ=2,5","2573,78","5350,65","4102,54","19561,10"
"μ=64 σ=2,6","2537,97","6792,41","3679,41","15885,71"
"μ=64 σ=2,7","2225,47","5735,62","4225,22","19366,86"
"μ=64 σ=2,8","2067,53","6551,70","3246,49","13407,29"
"μ=64 σ=2,9","2344,50","6309,11","4343,53","19106,06"
"μ=64 σ=3,0","1723,59","6945,54","3144,48","13572,10"
