sigma,min,śr,std,max
"0,5","8866,29","15669,33","2900,86","19432,34"
"1,0","10475,17","20178,35","7082,07","38857,57"
"1,5","9415,89","29463,18","10891,97","53127,59"
"2,0","4513,68","27131,68","15387,95","106882,07"
"2,5","5284,31","34677,40","16864,87","80372,43"
"3,0","12918,67","56058,79","35357,47","132824,41"
