sigma,min,śr,std,max
"0,5","8520,70","13859,41","2675,80","19036,04"
"1,0","5812,49","14361,23","5198,03","23128,39"
"1,5","4916,11","15497,15","5532,53","23292,59"
"2,0","6486,61","19674,15","8312,23","35823,62"
"2,5","2239,49","17086,82","10171,87","39773,40"
"3,0","3441,23","19903,19","11255,07","43768,83"
