sigma,min,śr,std,max
"0,5","5812,16","9610743,46","24864319,47","85036772,33"
"1,0","1055,63","5726,50","4663,91","42214,71"
"1,5","378,65","20478,07","38870,46","149184,25"
"2,0","2077,56","45500,07","60869,32","216477,58"
"2,5","16913,82","190112,79","232594,99","1061833,22"
"3,0","13503,42","254289,43","258578,41","940109,93"
