sigma,min,śr,std,max
"0,5","202,57","288,63","36,14","344,96"
"1,0","362,18","3716,19","3837,00","12223,73"
"1,5","1015,10","8164,70","5779,85","18092,42"
"2,0","5815,63","26291,01","17482,29","68385,78"
"2,5","7480,34","28950,88","20899,95","78649,01"
"3,0","4201,47","58188,32","45655,57","221122,92"
