sigma,min,śr,std,max
"0,5","4368,20","8123,47","3146,86","16283,65"
"1,0","5786,99","17181,22","6854,04","29498,12"
"1,5","5142,36","32986,25","26765,36","92737,41"
"2,0","9466,79","181496,38","290482,45","1003489,90"
"2,5","26510,45","182526,77","182646,39","886422,54"
"3,0","45387,71","781840,44","966851,95","7968767,81"
