,l. elementów,min,śr,std,max
0,5,"0,000070","0,000116","0,000076","0,000390"
1,10,"0,001563","0,001699","0,000466","0,004228"
2,15,"0,049128","0,050971","0,002234","0,064533"
3,20,"1,617771","1,664687","0,034101","1,818593"
4,25,"52,482227","53,494768","0,627241","54,925919"
