sigma,min,śr,std,max
"σ=0,5","5705,36","10358,48","3967,56","21865,67"
"σ=1,0","4816,29","12890,93","4847,60","28514,94"
"σ=1,5","4883,80","16413,99","7729,20","37076,81"
"σ=2,0","5306,20","18162,86","10056,83","50055,19"
"σ=2,5","3996,08","25055,16","15029,04","88179,64"
"σ=3,0","6180,77","33414,18","18415,15","84947,60"
