sigma,min,śr,std,max
"σ=0,5","28885,67","6520238,72","43993715,54","314467723,78"
"σ=1,0","1376,11","13217,19","6433,75","30749,39"
"σ=1,5","578,14","19038,59","9492,14","40806,88"
"σ=2,0","2071,99","52479,99","45773,32","236692,48"
"σ=2,5","1577,04","154832,20","183474,84","723548,35"
"σ=3,0","7601,50","289534,39","244733,99","978265,63"
