mu,min,śr,std,max
μ=1,4692085541.2459345,3.642787017737482e+17,1.3987404316094582e+18,6.413110049278837e+18
μ=2,63424.184453462905,404627.84620289266,447194.131824661,1972645.774224862
μ=4,13648.50352138454,85499.73258018041,130732.68248694678,674533.8469987606
μ=8,844.9925584034116,88955.62253580923,233586.54585679705,1210217.3673733391
μ=16,925.8838495292357,28750.765033737513,27942.871505367453,98750.73509570255
μ=32,5315.267971490392,87608.5573663353,111980.38318321042,424907.8529055363
μ=64,8592.267848551117,3041549.9870682247,2591372.310025668,11745527.663090086
