mu,min,śr,std,max
μ=1,"11147171358,26","47434313269,57","17010674768,77","74911205253,23"
μ=2,"4954,39","11557,74","8721,25","37346,22"
μ=4,"2081,92","23817,26","8418,82","33994,01"
μ=8,"3484,31","5926,62","3585,40","19664,35"
μ=16,"5592,02","10196,86","4498,78","23317,63"
μ=32,"10543,61","18085,69","2753,97","21588,61"
μ=64,"25970,57","28753,83","2138,11","37391,94"
