mu,min,śr,std,max
μ=1,"5727539834,27","125513764273932,95","438570956781759,44","2584185347423156,50"
μ=2,"200,96","223,77","37,71","357,48"
μ=4,"200,21","215,49","18,16","259,55"
μ=8,"200,09","217,11","17,39","256,06"
μ=16,"236,46","308,43","22,53","352,71"
μ=32,"200,05","1216,37","7113,80","51012,94"
μ=64,"3457,27","45847,48","255807,09","1836448,27"
