mu,min,śr,std,max
μ=1,"42282,00","15589883,30","50331584,51","303822639,88"
μ=2,"4509,36","17806,49","9079,53","49503,76"
μ=4,"3972,43","19523,22","10242,29","47088,04"
μ=8,"2828,81","18079,00","8068,62","37599,10"
μ=16,"3095,10","11590,66","7473,40","34963,99"
μ=32,"4107,19","16546,48","9109,30","37942,03"
μ=64,"4170,73","14747,46","7376,42","32786,71"
