parametry,min,śr,std,max
"μ=16 σ=1,0","201,79","222,34","29,87","293,43"
"μ=16 σ=1,1","203,78","225,28","31,17","311,79"
"μ=16 σ=1,2","201,70","227,27","23,84","281,40"
"μ=16 σ=1,3","202,78","296,73","166,54","784,75"
"μ=16 σ=1,4","206,75","390,63","474,67","2213,73"
"μ=16 σ=1,5","210,46","629,63","519,17","2016,50"
"μ=16 σ=1,6","224,07","1412,31","1838,31","6499,23"
"μ=16 σ=1,7","251,94","1175,01","1227,01","4497,58"
"μ=16 σ=1,8","222,80","1690,50","2886,31","9715,17"
"μ=16 σ=1,9","252,92","2844,98","2819,27","9155,02"
"μ=16 σ=2,0","251,69","1743,66","1292,64","4375,45"
"μ=16 σ=2,1","213,22","2845,47","3282,25","11712,95"
"μ=16 σ=2,2","249,56","3470,03","4079,87","13837,33"
"μ=16 σ=2,3","353,60","5464,18","5542,69","19148,15"
"μ=16 σ=2,4","329,02","4581,03","4943,82","13959,92"
"μ=16 σ=2,5","363,14","5579,70","6556,56","19721,00"
"μ=16 σ=2,6","376,12","6638,42","5242,29","18642,49"
"μ=16 σ=2,7","623,24","11544,38","11118,16","39312,90"
"μ=16 σ=2,8","731,60","9461,27","8331,51","25163,81"
"μ=16 σ=2,9","735,80","9208,00","8015,55","28878,39"
"μ=16 σ=3,0","319,23","7166,73","4957,79","15252,27"
"μ=32 σ=0,1","170779413,31","3327559751,27","1762912822,24","5034299051,57"
"μ=32 σ=0,2","573956,28","209093708,28","114072009,16","344725605,66"
"μ=32 σ=0,3","355,89","2511545,79","2047493,02","8157531,11"
"μ=32 σ=0,4","312,98","340,79","18,66","404,01"
"μ=32 σ=0,5","309,47","327,92","11,89","340,19"
"μ=32 σ=0,6","308,02","329,11","18,18","362,84"
"μ=32 σ=0,7","303,15","334,60","18,79","368,16"
"μ=32 σ=0,8","302,16","335,45","16,58","368,19"
"μ=32 σ=0,9","314,40","342,46","14,60","365,90"
"μ=32 σ=1,0","306,09","338,05","16,66","369,57"
"μ=32 σ=1,1","308,31","341,29","20,80","374,23"
"μ=32 σ=1,2","295,65","340,26","22,93","372,50"
"μ=32 σ=1,3","289,79","339,02","23,03","369,44"
"μ=32 σ=1,4","326,71","362,69","25,94","425,41"
