mu,min,śr,std,max
μ=1,694455229.3056189,6503023834005.491,21866731112008.656,100137320511367.84
μ=2,4189.056717283465,90914.5256722953,102853.29143435364,499068.99944096495
μ=4,3808.3731144539224,23163.41616910626,19691.330708395668,104493.85911020971
μ=8,560.0826824888737,9541.888204871371,7480.5254368663,30767.034717811464
μ=16,268.24197747134843,3851.375113903292,4925.344425238494,19941.959070818655
μ=32,644.355674885216,2728.692394450837,2239.4755941993126,10539.654429743872
μ=64,438.5674249457704,9594.872142203618,9636.655430030594,33597.396480525254
