sigma,min,śr,std,max
"σ=0,5","200,07","281,83","41,43","370,81"
"σ=1,0","213,08","311,90","46,65","371,41"
"σ=1,5","253,62","534,13","280,39","1273,45"
"σ=2,0","225,50","2005,75","3183,15","18690,56"
"σ=2,5","327,99","2671,44","3805,16","17146,99"
"σ=3,0","361,41","5784,44","6450,77","30668,10"
