sigma,min,śr,std,max
"σ=0,5","7941,41","14665,87","3134,07","19131,20"
"σ=1,0","7915,23","17004,96","4899,60","29979,71"
"σ=1,5","7710,17","18353,07","5258,70","35405,14"
"σ=2,0","10602,01","21862,17","9975,17","57745,67"
"σ=2,5","8916,30","29302,37","14915,22","96321,11"
"σ=3,0","10077,28","27682,99","13481,48","71691,78"
