sigma,min,śr,std,max
"σ=0,5","358529,09","1262326095,09","2267003638,69","7080823461,89"
"σ=1,0","454,34","24233,84","57788,42","389625,44"
"σ=1,5","394,43","4876,65","4954,37","26000,10"
"σ=2,0","694,24","12689,18","16082,90","75161,05"
"σ=2,5","785,74","37068,42","36425,45","162094,30"
"σ=3,0","3494,91","126831,58","136499,70","483040,67"
