mu,min,śr,std,max
μ=1,"2261849433,54","18971577774403740,00","59886599394420600,00","323346959222981568,00"
μ=2,"421,15","6812,91","11028,37","65728,06"
μ=4,"252,27","2971,61","3907,23","16117,95"
μ=8,"207,74","1281,66","1525,40","6492,49"
μ=16,"205,63","291,88","41,68","448,33"
μ=32,"214,56","2589,39","1876,99","7585,98"
μ=64,"206,54","7757,26","4999,32","20123,69"
