sigma,min,śr,std,max
"σ=0,5","3924,73","12573,39","3764,05","17661,67"
"σ=1,0","3124,85","11852,50","4746,76","23023,77"
"σ=1,5","2944,83","11466,89","5016,71","25342,55"
"σ=2,0","2520,08","11229,44","5931,33","25902,65"
"σ=2,5","3334,66","13726,31","6143,37","24463,41"
"σ=3,0","3344,99","14736,85","8448,29","43468,76"
